Ticker,Description,Total Shares Outstanding,Revenue (Quarterly QoQ Growth),Revenue (Annual YoY Growth),Total Revenue (FY),Gross Profit (Quarterly QoQ Growth),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Margin (FY),EBITDA (Quarterly QoQ Growth),EBITDA (Annual YoY Growth),EBITDA (TTM),Operating Margin (FY),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),Net Income (Quarterly QoQ Growth),Net Income (Annual YoY Growth),Net Income (FY),Net Margin (FY),Total Assets (Annual YoY Growth),Total Assets (Quarterly QoQ Growth),Total Debt (Quarterly QoQ Growth),Total Debt (Annual YoY Growth),Total Debt (MRQ),Market Capitalization,Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Volatility,Volatility Month,Volatility Week,EPS Forecast (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Quick Ratio (MRQ),Sector
FBYD,"Falcon's Beyond Global, Inc.",7135510,,,0,,,0,,32.81093177,-295.37305139,-4089930,,-269.48398577,-83.17460317,0.0212,-189.29476576,-83.18042953,589202,,0.86514712,1.05607651,7.68479483,,2256957,288969735.6840816,60.35595106,-106.81359868,,253.79696243,128.35911255,68.69139764,,-3.25437363,-3.66934984,-3.66934984,0.06021528,Industrial Services
ICU,SeaStar Medical Holding Corporation,19446000,,,0,,,0,,18.14014407,-111.71049674,-14370560,,39.18316832,-695.28944381,-2.8026,30.27366021,-400.71801567,-23013000,,690.54726368,-31.06910809,-5.69077422,180.49555273,8137000,14891724.1671813,5.44899738,-52.4051623,,74.75925926,32.44447532,24.64120143,-0.25,-65.58869786,-81.52099884,-81.52099884,0.16920621,Health Technology
SFT,"Shift Technologies, Inc.",16999000,-18.08711629,5.32040341,670753000,,-65.56409425,14877000.0000001,2.21795504,44.80337849,-4.03580375,-136389000,-29.68767937,46.51539138,6.42978957,-19.9167,46.40829989,-3.47270671,-172042000,-25.64908394,-32.1873462,-35.0492047,-9.19187564,8.2241077,200073000,2891534.1643454,22.91231091,52.27570115,-15.55132813,124.94831151,21.93639981,49.89574869,-1.35,-62.2164458,,-121.87735483,0.91694013,Retail Trade
LIPO,Lipella Pharmaceuticals Inc.,5743945,-9.63336948,-28.99243099,184156,,,,,-45.25603312,-35.17431087,-3731470,-1406.26045309,-44.10973642,-39.22413793,-0.4522,-44.09533397,-39.25111754,-2597692,-1410.59319273,195.60050256,-24.38380862,-67.68469929,51.7947703,126178,8041528.57142857,39.22965602,-84.80552893,-994.64584374,40.38461538,12.85616732,17.30725242,,-162.28920707,-211.88618483,-195.90140181,11.26822265,Health Technology
SVVC,"Firsthand Technology Value Fund, Inc.",6893000,,-172.71024312,-13140001,99.07648864,-196.64359222,-14913698,,-211.42141988,-768.28451849,-38697120,,-211.40988372,-768.24034335,-9.3058,-211.42162412,-768.2628012,-64145033,,-67.61981302,-41.2075288,,,0,1764614.60735859,-33.49689844,,,103.07291667,12.4670626,35.76817493,,-96.97213691,-127.09411116,-127.09411116,,Finance
TGL,Treasure Global Inc.,17901353,-15.95635175,-12.88556711,69408319.00011371,-51.8355171,9.89021143,523284.00000087,0.75392115,6.68512741,0.2257767,-10143280,-14.74875944,-12.13213213,38.3143108,-0.7026,-6.52965003,0.15582307,-11727711.0000192,-16.89669361,135.64029195,12.05985878,130.75549713,-66.24012743,5027740,7772764.5,9.67265169,-7.47516226,-13.89927049,84.91589799,21.13138318,35.52332628,-0.13,-258.41468117,,,0.86995639,Commercial Services
PXMD,"PaxMedica, Inc.",17206609,,,0,,,0,,16.81431275,-47.32876712,-15067130,,21.65458141,-41.61676647,-1.2298,9.06319588,-44.7043598,-14801767,,239.71852432,8.24466098,8.05257761,,1665047,5755616.14906833,4.93607836,-10.13198758,,62.86644951,22.80989663,31.09968145,,-842.1645088,,,2.12118646,Health Technology
GRTX,"Galera Therapeutics, Inc.",43928700,,,0,40,85.3470437,-114000,,-21.16730395,29.58809753,-56720000,,4.09379968,26.44101447,-2.2971,-16.95087521,22.73822237,-62222000,,-47.14263423,-19.1546371,3.97614314,8.81392903,149578000,11961775.30238332,7.457569,36.32713471,,41.83673469,11.81222136,19.53583116,-0.397191,-129.20057794,,-167.65871603,3.08346792,Health Technology
SASI,"Sigma Additive Solutions, Inc.",611357,-25.44272774,-61.83306947,630428,41.54284411,-23.28815594,-5369357,-851.70027347,26.85854738,-2.95219718,-7210570,-1387.78797896,25.78357078,-9.38205492,-16.6672,25.32427089,-17.71007386,-8692424,-1378.81312378,-58.78973975,-32.20830583,,,0,3185231.07870466,15.59326176,-29.24177811,-1328.74491615,79.89417989,23.29406494,43.2017137,-1.8,-117.99310003,-130.29401824,-130.29401824,1.01483944,Technology Services
CNSP,"CNS Pharmaceuticals, Inc.",4201930,,,0,21.57935887,10.05355777,-11756,,18.29031335,-3.09793855,-17531290,,59.90954424,32.02431383,-11.2166,18.46558773,-5.37373751,-15274134,,49.0526567,-12.98945425,-42.43846753,5.71798429,166396,8382850.35,29.47027623,22.01570282,,32.45033113,13.84435546,24.88785375,-1.73,-189.18570779,-255.79004097,-255.79004097,1.51883069,Health Technology
