Ticker,Description,"Change 1h, %","Change 4h, %",Change from Open %,Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,Yearly Performance,5Y Performance,Sector
NKTX,"Nkarta, Inc.",0.62111801,0.62111801,117.68707483,116.21621622,107.79220779,130.21582734,56.8627451,-33.05439331,-76.15499255,-94.15525114,Health Technology
ASMB,"Assembly Biosciences, Inc.",-0.74632435,-0.74632435,-8.96551724,81.81818182,85.65400844,49.15254237,22.22222222,17.85714286,-22.35294118,-94.52963116,Health Technology
ANEB,"Anebulo Pharmaceuticals, Inc.",-3.7037037,-3.7037037,8.8372093,36.84210526,-4.88191537,-23.40425532,-7.10599444,-20.40816327,-13.33333333,-68.29268293,Health Technology
GPAK,Gamer Pakistan Inc.,-0.39718912,-0.39718912,28.34645669,32.5203252,22.64860798,,-61.19047619,-61.19047619,-61.19047619,-61.19047619,Consumer Services
MBRX,"Moleculin Biotech, Inc.",1.4102361,1.4102361,23.07692308,30.6122449,42.22222222,49.70760234,3.22580645,-19.98999875,-38.46153846,-92.2705314,Health Technology
OPGN,"OpGen, Inc.",0.78761062,0.78761062,25.37428446,25.37428446,38.55231144,184.29855217,74.94623656,7.44339623,-70.02894737,-99.84737336,Commercial Services
ASTR,"Astra Space, Inc.",0.2802653,0.2802653,22.11276734,24.71538258,29.39156709,-49.07567568,-83.88767033,-84.16378888,-88.43186935,-99.37161914,Electronic Technology
METC,"Ramaco Resources, Inc.",0.1769616,0.1769616,17.40450539,22.94358974,20.83669355,9.07188353,32.45303867,37.7816092,10.8880666,45.82725061,Energy Minerals
MCHX,"Marchex, Inc.",1.2987013,1.2987013,20,22.83464567,22.83464567,7.5862069,-24.63768116,-20,-2.5,-40.45801527,Commercial Services
SLGC,"SomaLogic, Inc.",-0.26138396,-0.26138396,20.83333333,20.83333333,22.88135593,-8.9958159,-9.75103734,-27.01342282,-20.90909091,-84.46428571,Commercial Services
SMMT,Summit Therapeutics Inc.,-0.9342723,-0.9342723,13.55913978,20.69714286,25.72619048,12.95187166,-0.83568075,32.0125,76.01666667,10.58638743,Health Technology
COMS,COMSovereign Holding Corp.,3.5,12.5,27.91991101,20.20905923,26.2195122,-12.65822785,-39.47368421,-48.50746269,-76.74157303,-99.45243571,Electronic Technology
LAB,Standard BioTools Inc.,-0.25380711,-0.25380711,23.58490566,19.81707317,23.58490566,-32.24137931,-18.46811336,12.28571429,88.94230769,-75.74074074,Health Technology
LUCY,"Innovative Eyewear, Inc.",-0.90909091,-0.90909091,16.20469083,18.45251032,34.60113608,-3.14554825,-36.99421965,-83.23076923,-71.31578947,-91.61538462,Retail Trade
SUNW,"Sunworks, Inc.",-1.26821313,-1.26821313,16.92503177,17.97435897,14.99625094,-11.51923077,-72.77514793,-57.39814815,-79.73127753,-83.18962368,Producer Manufacturing
VIGL,"Vigil Neuroscience, Inc.",-0.27586207,16.80129241,16.61290323,17.17990276,23.80136986,34.13729128,-22.34156821,-26.82186235,-54.8125,-39.75,Health Technology
WHLR,"Wheeler Real Estate Investment Trust, Inc.",-0.8632957,-0.8632957,5.95153604,16.75977654,5.54489446,-68.1402439,-84.30928575,-91.65801868,-93.62804878,-97.41086693,Finance
CYCC,"Cyclacel Pharmaceuticals, Inc.",0.69990001,0.69990001,17.5,16.7218543,12.98076923,98.75951508,-2.75862069,3.67647059,-44.48818898,-97.44565217,Health Technology
BYRN,"Byrna Technologies, Inc.",-0.12531328,-0.12531328,15.50724638,16.52046784,16.86217009,77.90178571,3.50649351,-31.76369863,-37.63693271,184.64285714,Electronic Technology
CUTR,"Cutera, Inc.",-1.12359551,-1.12359551,17.63925729,16.40419948,29.30029155,-26.32890365,-72.6908867,-81.06319385,-90.4726101,-79.39126394,Health Technology
ATHX,"Athersys, Inc.",-1.2173913,-1.2173913,-15.72700297,15.80020387,10.50583658,-73.7097894,-86.14634146,-89.07692308,-93.72375691,-99.78153846,Health Technology
