time,open,high,low,close,Volume,Volume MA,Total revenue,COGS,Gross profit,Operating expenses (excl. COGS),Operating income,"Non-operating income, total",Pretax income,Equity in earnings,Taxes,Non-controlling/minority interest,After tax other income/expense,Net income before discontinued operations,Discontinued operations,Net income,Basic EPS,Average basic shares outstanding,EBITDA,EBIT,Total operating expenses,Total current assets,Cash & equivalents,"Total receivables, net",Inventories - raw materials,Inventories - work in progress,Inventories - finished goods,Inventories - progress payments & other,Prepaid expenses,"Other current assets, total",Long term investments,Note receivable - long term,Investments in unconsolidated subsidiaries,Other investments,Property/plant/equipment - Buildings,Property/plant/equipment - Construction in progress,Property/plant/equipment - Machinery & equipment,Property/plant/equipment - Land & improvement,Property/plant/equipment - Leased property,Property/plant/equipment - Leases,Property/plant/equipment - Computer software and equipment,Property/plant/equipment - Transportation equipment,Property/plant/equipment - Other,"Accumulated depreciation, total",Deferred tax assets,Net intangible assets,"Goodwill, net","Other intangibles, net",Deferred charges,"Other long term assets, total",Total current liabilities,Short term debt,Accounts payable,Total non-current liabilities,Long term debt,Total equity,Shareholders&#039; equity,Total liabilities & shareholders&#039; equities,Total debt,Net debt,Book value per share,Tangible book value per share,Cash from operating activities,Funds from operations,Net income (cash flow),Changes in working capital,Change in accounts receivable,Change in inventories,Cash from investing activities,"Purchase/sale of business, net",Sale of fixed assets & businesses,Purchase/acquisition of business,"Purchase/sale of investments, net",Capital expenditures - fixed assets,Capital expenditures - other assets,Cash from financing activities,Sale of common & preferred stock,Repurchase of common & preferred stock,"Issuance/retirement of debt, net",Issuance of long term debt,Reduction of long term debt,Issuance/retirement of short term debt,Issuance/retirement of other debt,Total cash dividends paid,Common dividends paid,Preferred dividends paid,Free cash flow,Total non-current assets,Dividends per share - common stock primary issue,Number of employees,Mkt сap
2003-01-02T07:00:00Z,9.98365,20.965665,4.991825,13.97711,23254168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-02T07:00:00Z,89.85285,304.501325,49.91825,299.5095,42762585,NaN,191190000000,-142320000000,48870000000,142320000000,0,26470000000.000008,26470000000,120000000,-2460000000,-220000000,0,23910000000,NaN,23910000000,81.37,293880319.272,193520000000,191190000000,0,98800000000,4500000000,46850000000,14680000000,6320000000,15850000000,8160000000,2438800000,2440000000,4210000000,1420000000,1100000000,1690000000,7700000000,NaN,37910000000,NaN,NaN,630000000,NaN,NaN,3650000000,-10550000000,12190000000,0,0,0,0,0,54970000000,16420000000,26160000000.000004,13209999999.99999,8520000000,86360000000,85420000000,154540000000,24940000000,20440000000,203.669,203.66925196,9630000000,14070000000,26589999999.999996,-4440000000,1200000000,-3670000000,-47410000000,-43330000000,1090000000,-44420000000,2210000000,-6290000000,0,34030000000,37380000000,0,-3350000000,0,-3350000000,4531300000,NaN,0,0,0,3340000000,55740000000.000015,4.99182798,5272,NaN
2005-01-03T07:00:00Z,298.511135,419.3133,289.52585,374.386875,118453678,NaN,297510000000,-215050000000,82460000000,-65360000000,17100000000,7480000000,24580000000,70000000,-4560000000,-620000000,0,19470000000,NaN,19470000000,46.12,422190029.21999997,21320000000,17100000000,280410000000,105209999999.99998,220000000,49420000000,15520000000,7470000000,18690000000,11850000000,560000000,2040000000,3400000000,750000000,1860000000,790000000,12969999999.999998,NaN,44660000000,NaN,NaN,960000000,NaN,NaN,4830000000,-11210000000,9510000000,0,0,0,4500000000,0,57430000000,16360000000,30960000000,11880000000.000008,8140000000,105520000000,104120000000,174830000000,24500000000,24280000000,245.628,245.62813284,11050000000,19600000000,24650000000,-8550000000,-2950000000,-7990000000,-13910000000,1880000000,1880000000,0,-690000000,-16520000000,0,-8180000000,0,0,-7310000000,0,-7310000000,6760000000,NaN,-710000000,-710000000,0,-5470000000,69620000000,11.98038715,4681,NaN
2006-01-03T07:00:00Z,384.370525,449.26425,339.4441,439.2806,139518486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007-01-02T07:00:00Z,444.272425,494.190675,289.52585,339.4441,125314134,NaN,349481747400,-264794657300,84687090100,-66273664700,18413425400,746670299.9999995,19160095800,213334400,-3533351000,-773337200,0,15066742000,0,15066742000,35.44,424794285.628,22786780000,18413425000,331068322000,147460000000,240000000,63120000000,27540000000,9270000000,27080000000,15090000000,NaN,5120000000,3810000000,NaN,3530000000,280000000,19920000000,NaN,60170000000,NaN,NaN,900000000,NaN,NaN,6670000000,-16940000000,6790000000,5640000000,5640000000,0,4550000000,0,108410000000,46560000000,49680000000,11450000000,7140000000,119110000000,116610000000,238970000000,53700000000,53460000000,274.315,261.04766765,15420000000,33210000000,29060000000,-17790000000,-8650000000,-22710000000,-21950000000,-3890000000,1550000000,-5440000000,-1350000000,-18240000000,0,6550000000,0,0,17630000000,830000000.0000001,-9340000000,26139999999.999996,NaN,0,0,0,-2820000000,91509999999.99998,2.99509679,6228,NaN
2008-01-02T07:00:00Z,339.4441,349.42775,114.811975,174.713875,67181068,NaN,462040000000,-326640000000,135400000000,-117280000000,18120000000,-6280000000.000002,11840000000,370000000,770000000,-750000000,0,12230000000,NaN,12230000000,28.75,425194940.46,23740000000,18120000000,443920000000,171450000000,5510000000,69230000000,28490000000,10430000000,36830000000,17240000000,NaN,3720000000,2710000000,0,2570000000,140000000,21120000000,NaN,74430000000,NaN,NaN,1050000000,NaN,NaN,8300000000,-22140000000,9130000000,6050000000,6050000000,0,3940000000,0,133420000000,53370000000.00001,67350000000,11750000000,6830000000,130870000000,127620000000,276040000000,60200000000,54690000000,300.163,285.93365798,17060000000,16980000000,12210000000,80000000,-4660000000,-13760000000,-16040000000,370000000,370000000,0,1330000000,-17740000000,0,4250000000,0,0,5520000000,19040000000,-80000000,-13440000000,NaN,0,0,0,-680000000,104590000000.00002,0,6082,NaN
2009-01-02T07:00:00Z,174.713875,249.59125,99.8365,249.59125,43748569,NaN,383900000000,-302180000000,81720000000,-67380000000,14340000000,-7419999999.999998,6920000000,270000000,-2050000000,-460000000,0,4680000000,-8410000000,-3730000000,-8.79,425194940.46,19740000000,14340000000,369560000000,134220000000,5850000000,52750000000,25789999999.999996,6680000000,39640000000,-4530000000,NaN,8040000000,2760000000,0,2210000000,550000000,19340000000,NaN,84750000000,NaN,NaN,770000000,NaN,NaN,8880000000,-20300000000,10730000000,6670000000,6670000000,0,3040000000,0,117180000000,53550000000,48110000000,6470000000.000005,2960000000,127210000000,123860000000,250860000000,56510000000,50660000000,291.32,275.63186131,28410000000,5230000000,-4700000000,23180000000,18190000000,22390000000,-23820000000,1980000000,1980000000,0,-60000000,-25739999999.999996,0,-4250000000,0,0,-3890000000,0,-14100000000,10210000000,NaN,0,NaN,0,2670000000,116639999999.99997,0,4751,NaN
2010-01-04T07:00:00Z,219.6403,264.566725,130.785815,264.566725,31722974,NaN,397050000000,-363910000000,33140000000,-15280000000,17860000000,-3680000000,14180000000,300000000,-4870000000,-630000000,0,8980000000,-240000000,8740000000,20.57,425194940.46,24940000000,17860000000,379190000000,138170000000,10180000000,59970000000,17950000000,5400000000,42690000000,-1410000000,1240000000,2150000000,4210000000,0,2270000000,1940000000,19520000000,NaN,87730000000,NaN,NaN,1700000000,NaN,NaN,8910000000,-25230000000,6830000000,6670000000,6670000000,0,2510000000,0,108380000000,39690000000,55550000000,6170000000.000005,3050000000,136470000000,132700000000,251020000000,42740000000,32560000000,312.112,296.42361533,23710000000,20870000000,13980000000,2840000000,-7370000000,NaN,-4570000000,1840000000,1840000000,0,-80000000,-6330000000,0,-13030000000.000002,0,0,-12819999999.999998,0,-12819999999.999998,0,NaN,-210000000,-210000000,0,17380000000,112849999999.99997,6.98855917,4232,NaN
2011-01-03T07:00:00Z,209.65665,314.484975,204.664825,309.49315,25513132,NaN,886100000000,-912100000000,-26000000000,85900000000,59900000000,-20200000000,39700000000,600000000,-11400000000,-1700000000,0,27200000000,0,27200000000,14.18,1916131734.0400002,117400000000,59900000000,826200000000,305700000000,NaN,162200000000,33400000000,4600000000,20800000000,0,7700000000,0,18800000000,0,18800000000,0,NaN,NaN,NaN,NaN,NaN,NaN,3900000000,437100000000,455700000000,-259200000000,9600000000,123100000000,18300000000,104800000000,0,0,398100000000,211300000000,91200000000,296600000000,238200000000,399900000000,394800000000,1094700000000,449500000000,NaN,928.573,639.04067512,89800000000,88500000000,87200000000,1300000000,-8700000000,-5300000000,-60200000000,7900000000,11000000000,-3100000000,13700000000,-80300000000,-1500000000,-26600000000,0,0,-26600000000,51700000000,-66200000000,-12100000000,NaN,0,0,0,9500000000,789000000000,9.98365596,18094,NaN
2012-01-03T07:00:00Z,299.5095,397.34927,250.589615,358.413035,144281676,NaN,1048100000000,-812200000000,235900000000,-166600000000,69300000000,10500000000,79800000000,1100000000,-21800000000,-2200000000,0,56900000000,500000000,57400000000,28.35,2022305264.52,132200000000,69300000000,978800000000,517000000000,134600000000,237900000000,69600000000,10500000000,56600000000,0,7800000000,0,12200000000,900000000,7400000000,3900000000,164900000000,7000000000,231800000000,NaN,NaN,NaN,7000000000,470800000000,196800000000,-296700000000,7600000000,131100000000,18300000000,112800000000,0,1500000000,413300000000,108600000000,187100000000,462400000000,380000000000,568300000000,556400000000,1444000000000,488600000000,354000000000,237.668,181.66821684,146400000000,115900000000,117900000000,30500000000,18500000000,-1100000000,-61700000000,25400000000,25400000000,0,-1900000000,-95000000000,-2600000000,-25700000000,0,0,-25300000000,61100000000,0,-86400000000,NaN,-400000000,-400000000,0,51400000000,927000000000,5.99019357,23692,NaN
