time,open,high,low,close,Volume,Volume MA,Total revenue,COGS,Gross profit,Operating expenses (excl. COGS),Operating income,"Non-operating income, total",Pretax income,Equity in earnings,Taxes,Non-controlling/minority interest,After tax other income/expense,Net income before discontinued operations,Discontinued operations,Net income,Basic EPS,Average basic shares outstanding,EBITDA,EBIT,Total operating expenses,Total current assets,Cash & equivalents,"Total receivables, net",Inventories - raw materials,Inventories - work in progress,Inventories - finished goods,Inventories - progress payments & other,Prepaid expenses,"Other current assets, total",Long term investments,Note receivable - long term,Investments in unconsolidated subsidiaries,Other investments,Property/plant/equipment - Buildings,Property/plant/equipment - Construction in progress,Property/plant/equipment - Machinery & equipment,Property/plant/equipment - Land & improvement,Property/plant/equipment - Leased property,Property/plant/equipment - Leases,Property/plant/equipment - Computer software and equipment,Property/plant/equipment - Transportation equipment,Property/plant/equipment - Other,"Accumulated depreciation, total",Deferred tax assets,Net intangible assets,"Goodwill, net","Other intangibles, net",Deferred charges,"Other long term assets, total",Total current liabilities,Short term debt,Accounts payable,Total non-current liabilities,Long term debt,Total equity,Shareholders&#039; equity,Total liabilities & shareholders&#039; equities,Total debt,Net debt,Book value per share,Tangible book value per share,Cash from operating activities,Funds from operations,Net income (cash flow),Changes in working capital,Change in accounts receivable,Change in inventories,Cash from investing activities,"Purchase/sale of business, net",Sale of fixed assets & businesses,Purchase/acquisition of business,"Purchase/sale of investments, net",Capital expenditures - fixed assets,Capital expenditures - other assets,Cash from financing activities,Sale of common & preferred stock,Repurchase of common & preferred stock,"Issuance/retirement of debt, net",Issuance of long term debt,Reduction of long term debt,Issuance/retirement of short term debt,Issuance/retirement of other debt,Total cash dividends paid,Common dividends paid,Preferred dividends paid,Free cash flow,Total non-current assets,Dividends per share - common stock primary issue,Number of employees,Mkt сap
2002-01-02T07:00:00Z,300,313,300,311,937639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-01-02T07:00:00Z,311,520,265,506,548737976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-02T07:00:00Z,507.00003,590,419.99997,504.88,780677080,NaN,685250000000,-468390000000,216860000000,-113610000000,103250000000,-17570000000.000004,85680000000,2470000000,-21910000000,-240000000,0,66000000000,0,66000000000,44.6,1479700000,124730000000,103250000000,582000000000,166520000000,14550000000,127810000000,24160000000,0,0,0,NaN,0,68130000000,0,53920000000,14210000000,231460000000,NaN,195550000000,NaN,NaN,NaN,NaN,NaN,NaN,-139010000000,4270000000,22720000000,21150000000,1570000000,0,0,155210000000,55960000000,27460000000,103970000000.00003,79250000000,290460000000,283040000000,549640000000,135210000000,120660000000,186.106,171.16704805,62590000000,71400000000,97590000000,-8810000000,-11820000000,10320000000,-78010000000,-1970000000,0,-1970000000,-15260000000,-37850000000,0,-13720000000,9770000000,0,13970000000,0,NaN,13970000000,NaN,-24560000000,-24560000000,0,24740000000,383120000000,19,NaN,NaN
2005-01-03T07:00:00Z,504,765,470,747.22998,688767078,NaN,753370000000,-365060000000,388310000000,-281690000000,106620000000,-1430000000.0000005,105190000000.00002,6290000000,-29950000000,-170000000,0,81360000000,0,81360000000,56.8,1431500000,131780000000,106620000000,646750000000,201340000000,29290000000,135710000000,27460000000,0,0,0,3890000000,0,79120000000,6280000000,72840000000,0,251370000000,NaN,169620000000,NaN,NaN,NaN,20140000000,4940000000,22050000000,-157250000000,1870000000,35040000000,30900000000,4140000000,0,0,208469999999.99997,91340000000,33690000000,77960000000.00003,49290000000,341810000000,334230000000,628240000000,140630000000,106350000000,231.113,206.88317206,101300000000,85660000000,120960000000,15640000000,-9170000000,-3279999999.9999995,-64770000000,-280000000,500000000,-780000000,-11540000000,-46930000000,-2800000000,-21790000000,4420000000,0,5410000000,0,-29970000000,35380000000,NaN,-30780000000,-30780000000,0,54370000000,426900000000,25,16574,NaN
2006-01-03T07:00:00Z,760,1390,735,1390,1126776986,NaN,1115200000000,-637600000000,477600000000,-367100000000,110500000000,-45400000000,65100000000,2800000000,-22900000000,20400000000,0,65400000000,8700000000,74100000000,50.3,1448000000,164700000000,110500000000,1004700000000,479100000000,146300000000,262400000000,57100000000,0,0,0,12800000000,0,108900000000,1300000000,24200000000,83400000000,2542000000000,22400000000,19600000000,NaN,NaN,NaN,32500000000,6000000000,310900000000,-208800000000,39600000000,1701600000000,1674500000000,27100000000,0,0,616900000000,340700000000,119200000000,3813300000000,2922400000000,623600000000,288100000000,5053800000000,3263100000000,3116300000000,189.171,-1263.57618666,81800000000,86800000000,157800000000,-5000000000,-18600000000,-2500000000,-1797000000000,-1634300000000,5000000000,-1639300000000,18000000000,-101400000000,-11100000000,1926100000000,232200000000,-13400000000,1708500000000,2502100000000,0,-793600000000,NaN,-1200000000,0,-1200000000,-19600000000,4574700000000,27,26268,NaN
2007-01-02T07:00:00Z,1381,1677,1125,1158,1110807874,NaN,1860700000000,-1085600000000,775100000000,-496700000000,278400000000,-192900000000,85500000000,3200000000,9900000000,-13800000000,0,84800000000,10900000000,95700000000,75.4,1230000000,382800000000,278400000000,1582300000000,521100000000,136100000000,278300000000,60000000000,0,0,0,14800000000,31900000000,175100000000,1600000000,28200000000,145300000000,2500100000000,40600000000,12800000000,NaN,NaN,NaN,32800000000,3900000000,351100000000,-273000000000,51400000000,1638000000000,1609100000000,28900000000,0,0,552700000000,254700000000,102600000000,3660200000000,2911600000000,841000000000,460400000000,5053900000000,3166300000000,3030200000000,318.072,-997.59036145,114500000000,142300000000,299000000000,-27800000000,-21200000000,-2700000000,-182300000000,-12800000000,4100000000,-16900000000,-5200000000,-138900000000,-10300000000,57700000000,66900000000,0,-6200000000,26200000000,0,-32400000000,0,-3000000000,NaN,-3000000000,-24400000000,4532800000000,31,NaN,NaN
2008-01-02T07:00:00Z,1160,1188,570,840,1266743052,NaN,2173500000000,-2015500000000,158000000000,150600000000,308600000000,-214300000000,94300000000,200000000,-6800000000,-11400000000,0,76300000000,10500000000,86800000000,63.5,1261000000,433000000000,308600000000,1864900000000,569500000000,120200000000,337500000000,63800000000,0,0,0,17600000000,30400000000,66200000000,1500000000,8900000000,55800000000,2851700000000,48700000000,15200000000,NaN,NaN,NaN,36500000000,4300000000,398500000000,-381700000000,90700000000,1791000000000,1755500000000,35500000000,2400000000,0,591600000000,226100000000,94100000000,4033500000000,3170200000000,867900000000,496500000000,5493000000000,3396300000000,3276100000000,342.393,-1076.78288431,154300000000,161500000000,337000000000,-7200000000,-64400000000,-2800000000,-231000000000,-138900000000,72300000000,-211200000000,17100000000,-126800000000,-14800000000,82200000000,4800000000,0,84100000000,97400000000,0,-13300000000,0,-6700000000,NaN,-6700000000,27500000000,4923500000000,32,28884,NaN
2009-01-02T07:00:00Z,820,1386,760,1380,926713446,NaN,2323200000000,-1370100000000,953100000000,-606800000000,346300000000,-202300000000,144000000000,2700000000,-35000000000,-11400000000,0,100300000000,63400000000,163700000000,123.8,1263000000,469000000000,346300000000,1976900000000,487300000000,80300000000,327700000000,62100000000,0,0,0,16800000000,400000000,13000000000,800000000,12200000000,0,2402300000000,60900000000,12400000000,NaN,NaN,NaN,40800000000,4900000000,415400000000,-427000000000,114700000000,1466900000000,1430300000000,36600000000,2500000000,0,508800000000,183400000000,116600000000,3372000000000,2542300000000,713300000000,478800000000,4594100000000,2725700000000,2645400000000,327.33,-831.35860979,140500000000,176800000000,370000000000,-36300000000,-57800000000,-4600000000,-48400000000,90300000000,91200000000,-900000000,4000000000,-127200000000,-14400000000,-105400000000,3100000000,-1100000000,-97900000000,0,-84000000000,-13900000000,NaN,-7600000000,-300000000,-7300000000,13300000000,4106800000000,38,29648,NaN
2010-01-04T07:00:00Z,1350,1643,1226,1539,671256431,NaN,2247400000000,-1289300000000,958100000000,-612800000000,345300000000,-172300000000,173000000000,2400000000,-29400000000,-17400000000,0,128600000000,0,128600000000,97,1271000000,461000000000,345300000000,1902100000000,538400000000,137800000000,315500000000,65200000000,0,0,0,18000000000,1300000000,20600000000,700000000,15100000000,4800000000,2302900000000,40500000000,1300000000,NaN,NaN,NaN,48700000000,4700000000,461200000000,-474100000000,175300000000,1348400000000,1315300000000,33100000000,2100000000,0,733900000000,394500000000,115700000000,3098200000000,2163000000000,635800000000,471300000000,4467900000000,2557500000000,2419100000000,325.529,-730.38371182,196200000000,180700000000,370800000000,15500000000,4400000000,-3700000000,-139300000000,3800000000,4000000000,-200000000,-2900000000,-128400000000,-8600000000,8400000000,8000000000,0,5800000000,88300000000,0,-82500000000,0,-5400000000,-100000000,-5300000000,67800000000,3929500000000,46.5,29121,NaN
2011-01-03T07:00:00Z,1535,1584,1265,1345,682274630,NaN,2258400000000,-1314200000000,944200000000,-620600000000,323600000000,-132800000000,190800000000,2300000000,-9500000000,-22900000000,0,160700000000,1900000000,162600000000,122.8,1286000000,442000000000,323600000000,1934800000000,617400000000,235500000000,290500000000,72100000000,NaN,NaN,NaN,18300000000,800000000,49700000000,20500000000,28900000000,300000000,2584000000000,62400000000,1500000000,NaN,NaN,NaN,63200000000,2500000000,517000000000,-589000000000,216500000000,1540000000000,1503400000000,36600000000,NaN,0,702500000000,293800000000,156700000000,3594200000000,2510600000000,768500000000,579900000000,5065200000000,2804400000000,2568700000000,398.069,-791.11871245,304700000000,220200000000,364400000000,84500000000,42400000000,-3200000000,-125400000000,40400000000,41500000000,-1100000000,-25000000000,-131600000000,-8100000000,-148300000000,19700000000,0,-106700000000,47700000000,0,-154400000000,NaN,-60300000000,-55600000000,-4700000000,173100000000,4447800000000,53,28199,NaN
